ID;num_target;la;isd;niter;tex;tr_acc;te_acc;L*
1 0.01;1; 0.0;1;   3; 0.0600;100.0;100.0;2.44e-10;
1 0.03;1; 0.0;3;   3; 0.0290;100.0;100.0;2.56e-10;
1 0.07;1; 0.0;7;1000; 0.0910;100.0;100.0;3.28e-01;
1 1.01;1; 1.0;1; 104; 0.6380;100.0;100.0;3.88e+00;
1 1.03;1; 1.0;3;  21; 0.1640;100.0;100.0;3.88e+00;
1 1.07;1; 1.0;7;1000; 0.1040;100.0;100.0;1.21e+01;
110.01;1;10.0;1;  39; 0.2600;100.0;100.0;1.53e+01;
110.03;1;10.0;3;  36; 0.2360;100.0;100.0;1.53e+01;
110.07;1;10.0;7;1000; 0.0690;100.0;100.0;4.00e+01;
2 0.01;2; 0.0;1;   9; 0.0710; 96.0; 96.4;1.00e+01;
2 0.03;2; 0.0;3;  24; 0.1570; 96.0; 96.4;1.00e+01;
2 0.07;2; 0.0;7;1000; 0.0700; 99.6; 99.6;1.34e+00;
2 1.01;2; 1.0;1; 219; 1.0180; 99.6; 99.6;7.37e+00;
2 1.03;2; 1.0;3;  26; 0.1800; 99.6; 99.6;7.37e+00;
2 1.07;2; 1.0;7;1000; 0.0760; 95.6; 96.8;1.92e+01;
210.01;2;10.0;1;1000; 3.3980; 96.0; 97.2;2.22e+01;
210.03;2;10.0;3;  39; 0.2560; 96.0; 97.2;2.22e+01;
210.07;2;10.0;7;1000; 0.0770; 95.2; 96.4;4.57e+01;
3 0.01;3; 0.0;1;1000; 4.2040;100.0; 97.6;9.37e-02;
3 0.03;3; 0.0;3;  23; 0.1490; 99.6; 94.4;1.00e+00;
3 0.07;3; 0.0;7;1000; 0.0930; 98.4; 98.4;3.94e+00;
3 1.01;3; 1.0;1; 384; 1.7340; 98.4; 98.4;1.17e+01;
3 1.03;3; 1.0;3;  29; 0.2030; 98.4; 98.4;1.17e+01;
3 1.07;3; 1.0;7;1000; 0.0770; 97.2; 94.8;2.74e+01;
310.01;3;10.0;1; 102; 0.5110; 97.2; 96.8;2.98e+01;
310.03;3;10.0;3;  35; 0.2270; 97.2; 96.8;2.98e+01;
310.07;3;10.0;7;1000; 0.0790; 82.8; 79.6;5.25e+01;
4 0.01;4; 0.0;1;   6; 0.0440;100.0;100.0;1.04e-07;
4 0.03;4; 0.0;3;  24; 0.1450;100.0;100.0;7.88e-09;
4 0.07;4; 0.0;7;1000; 0.0690;100.0;100.0;3.54e-01;
4 1.01;4; 1.0;1; 112; 0.5770;100.0;100.0;3.81e+00;
4 1.03;4; 1.0;3;  20; 0.1360;100.0;100.0;3.81e+00;
4 1.07;4; 1.0;7;1000; 0.0830;100.0;100.0;1.16e+01;
410.01;4;10.0;1;  59; 0.3220;100.0;100.0;1.46e+01;
410.03;4;10.0;3;  39; 0.2510;100.0;100.0;1.46e+01;
410.07;4;10.0;7;1000; 0.0770; 98.4; 99.2;3.80e+01;
5 0.01;5; 0.0;1; 244; 1.0600;100.0;100.0;8.18e-07;
5 0.03;5; 0.0;3;  17; 0.0810;100.0; 99.2;1.98e-08;
5 0.07;5; 0.0;7;1000; 0.0760;100.0;100.0;6.18e-01;
5 1.01;5; 1.0;1; 191; 0.8560;100.0;100.0;5.20e+00;
5 1.03;5; 1.0;3;  30; 0.1990;100.0;100.0;5.20e+00;
5 1.07;5; 1.0;7;1000; 0.0790; 99.6;100.0;1.54e+01;
510.01;5;10.0;1;  72; 0.4260; 99.6;100.0;1.87e+01;
510.03;5;10.0;3;  44; 0.3910; 99.6;100.0;1.87e+01;
510.07;5;10.0;7;1000; 0.0860; 97.2; 97.6;4.43e+01;
6 0.01;6; 0.0;1; 663; 3.4850;100.0; 99.2;1.23e-06;
6 0.03;6; 0.0;3;  16; 0.0770;100.0; 98.0;3.82e-26;
6 0.07;6; 0.0;7;1000; 0.0740; 99.6; 99.2;1.66e+00;
6 1.01;6; 1.0;1; 275; 1.1480; 99.6; 99.2;7.50e+00;
6 1.03;6; 1.0;3;  29; 0.1840; 99.6; 99.2;7.50e+00;
6 1.07;6; 1.0;7;1000; 0.0690; 99.6; 99.2;1.99e+01;
610.01;6;10.0;1;  76; 0.3580; 99.6; 99.2;2.29e+01;
610.03;6;10.0;3;  45; 0.2500; 99.6; 99.2;2.29e+01;
610.07;6;10.0;7;1000; 0.0840; 95.2; 98.0;4.82e+01;
7 0.01;7; 0.0;1;   9; 0.0780;100.0;100.0;1.50e-07;
7 0.03;7; 0.0;3;  22; 0.1440;100.0;100.0;1.65e-07;
7 0.07;7; 0.0;7;1000; 0.0680;100.0;100.0;5.55e-01;
7 1.01;7; 1.0;1; 135; 0.5970;100.0;100.0;4.38e+00;
7 1.03;7; 1.0;3;  20; 0.1420;100.0;100.0;4.38e+00;
7 1.07;7; 1.0;7;1000; 0.0680; 99.2; 98.8;1.28e+01;
710.01;7;10.0;1;  49; 0.2690; 99.6; 99.6;1.59e+01;
710.03;7;10.0;3;  40; 0.2590; 99.6; 99.6;1.59e+01;
710.07;7;10.0;7;1000; 0.0660; 97.6; 96.4;4.01e+01;
8 0.01;8; 0.0;1;1000; 3.7470;100.0; 94.4;1.40e-01;
8 0.03;8; 0.0;3;  24; 0.1020;100.0; 92.0;9.45e-10;
8 0.07;8; 0.0;7;1000; 0.0680; 99.2; 96.8;4.77e+00;
8 1.01;8; 1.0;1; 631; 2.5400; 98.8; 96.4;1.42e+01;
8 1.03;8; 1.0;3;  32; 0.3330; 98.8; 96.4;1.42e+01;
8 1.07;8; 1.0;7;1000; 0.1010; 90.4; 88.0;3.11e+01;
810.01;8;10.0;1;1000; 3.3840; 92.4; 90.0;3.32e+01;
810.03;8;10.0;3;  43; 0.2720; 92.4; 90.0;3.32e+01;
810.07;8;10.0;7;1000; 0.0690; 77.6; 73.6;5.37e+01;
9 0.01;9; 0.0;1;1000; 4.1250;100.0; 96.8;2.38e-04;
9 0.03;9; 0.0;3;  22; 0.1070;100.0; 94.8;8.27e-13;
9 0.07;9; 0.0;7;1000; 0.0720; 99.6; 97.6;2.31e+00;
9 1.01;9; 1.0;1; 431; 1.8490; 99.6; 98.0;9.94e+00;
9 1.03;9; 1.0;3;  28; 0.1930; 99.6; 98.0;9.94e+00;
9 1.07;9; 1.0;7;1000; 0.0840; 96.4; 95.2;2.55e+01;
910.01;9;10.0;1; 130; 0.6460; 99.2; 97.2;2.80e+01;
910.03;9;10.0;3;  42; 0.2600; 99.2; 97.2;2.80e+01;
910.07;9;10.0;7;1000; 0.0820; 73.2; 73.2;5.11e+01;
0 0.01;0; 0.0;1;1000; 4.1640;100.0; 98.0;7.04e-06;
0 0.03;0; 0.0;3;  16; 0.0810;100.0; 95.6;2.05e-34;
0 0.07;0; 0.0;7;1000; 0.0720; 99.6; 98.0;2.41e+00;
0 1.01;0; 1.0;1; 402; 1.7510; 99.6; 98.0;8.80e+00;
0 1.03;0; 1.0;3;  31; 0.2280; 99.6; 98.0;8.80e+00;
0 1.07;0; 1.0;7;1000; 0.0670; 98.8; 98.4;2.28e+01;
010.01;0;10.0;1; 118; 0.5700; 98.8; 98.0;2.56e+01;
010.03;0;10.0;3;  39; 0.2430; 98.8; 98.0;2.56e+01;
010.07;0;10.0;7;1000; 0.0730; 82.4; 79.6;4.99e+01;
